lang	worker	num_hits	quality	quality_syn	num_langs	goog
gl	2225	10	0.600	0.700	0	0.0
gl	956	4	0.375	0.625	many	0.571
gl	2381	4	0.500	0.750	0	0.0
gl	2383	23	0.587	0.783	1	0.0
gl	4804	74	0.520	0.709	0	0.556
gl	4792	1	1.000	1.000	0	0.65
gl	1441	15	0.700	0.733	1	0.0
gl	4793	1	0.500	0.500	0	0.6
gl	2077	30	0.617	0.783	1	0.597
gl	500	72	0.625	0.861	1	0.567
gl	4995	14	0.607	0.857	many	0.0
gl	3917	102	0.647	0.843	0	0.43
gl	4800	1	1.000	1.000	0	0.525
gl	582	4	0.500	0.750	1	0.3
gl	5006	1	0.000	0.000	1	0.2
gl	5005	1	1.000	1.000	0	0.1
gl	3307	16	0.438	0.750	0	0.677
gl	1710	46	0.609	0.717	many	0.642
gl	3162	3	0.500	0.833	0	0.616
gl	488	15	0.700	0.900	many	0.5
gl	836	58	0.517	0.621	0	0.616
gl	4778	110	0.636	0.795	0	0.0
gl	696	11	0.591	0.682	0	0.5
gl	4838	6	0.667	0.917	0	0.477
gl	4810	2	0.000	0.500	0	0.0
gl	4816	2	0.500	1.000	0	0.1
gl	4815	3	0.500	0.667	0	0.233
gl	4919	1	0.500	0.500	0	0.0
gl	1922	15	0.633	0.700	0	0.3
gl	2411	87	0.684	0.805	1	0.0
gl	642	62	0.677	0.831	many	0.467
gl	4992	11	0.409	0.818	0	0.136
gl	4993	5	0.400	0.700	0	0.24
gl	4859	59	0.542	0.805	many	0.51
gl	4858	1	0.500	0.500	0	0.1
gl	4857	3	0.667	0.667	0	0.542
gl	4856	6	0.500	0.667	0	0.579
gl	4855	1	0.500	0.500	0	0.621
gl	4996	1	0.500	0.500	0	0.1
gl	2148	287	0.608	0.779	many	0.542
lb	5393	2	0.000	0.250	1	0.0
lb	5392	454	0.496	0.700	0	0.0
lb	4524	5	0.000	0.000	0	0.0
lb	5111	2	0.250	0.500	0	0.3
lb	1147	37	0.270	0.365	many	0.4
lb	5112	3	0.500	0.667	0	0.675
lb	5471	19	0.658	0.895	0	0.0
lb	5292	431	0.375	0.544	many	0.0
lb	5343	9	0.722	0.944	0	0.0
lb	4457	1	0.000	0.500	1	0.0
lb	3506	3	0.167	0.167	0	0.0
lb	5337	6	0.000	0.000	0	0.0
lb	5103	307	0.107	0.503	1	0.0
lb	5338	1	0.000	0.000	0	0.0
lb	5135	4	0.125	0.375	0	0.0
lb	5097	52	0.144	0.173	0	0.0
lb	4783	264	0.373	0.549	0	0.0
lb	5586	126	0.690	0.798	many	0.0
lb	5587	7	0.000	0.000	0	0.0
lb	5585	137	0.347	0.467	0	0.0
lb	836	135	0.537	0.670	0	0.616
lb	5569	2	0.750	0.750	0	0.0
lb	5581	1	0.000	0.000	0	0.0
lb	5375	1	0.000	0.000	1	0.0
lb	5194	1	0.000	0.000	0	0.0
lb	5258	1	1.000	1.000	0	0.0
lb	2225	40	0.300	0.500	0	0.0
lb	5588	1	1.000	1.000	0	0.0
lb	41	535	0.712	0.893	1	0.3
lb	5481	2	0.250	0.750	0	0.0
lb	5394	2	0.500	0.500	0	0.0
lb	4843	773	0.367	0.525	many	0.0
lb	5380	1	0.000	0.000	0	0.0
lb	2724	1	0.500	0.500	0	0.0
lb	3178	1	0.500	0.500	0	0.0
lb	5253	1	0.000	0.000	1	0.0
